date,r_1y,zero_1y,treasury_1y,diff_bp,rel_diff_pct
2023-01-31,0.04767431852697761,0.05064648,0.0457378916738537,-29.72161473022393,-5.868446282984312
2023-02-28,0.05403659842769985,0.052374000000000004,0.04898062222162188,16.62598427699849,3.174472882918717
2023-03-31,0.04773109564709943,0.05120374,0.0453557017207972,-34.72644352900567,-6.782013096895982
2023-04-28,0.048561033290967226,0.05107733,0.04688358589885046,-25.16296709032771,-4.926445272360108
2023-05-31,0.05100547832543292,0.05166597999999999,0.05050298217310683,-6.605016745670767,-1.2784073283175441
2023-06-30,0.05610396126846524,0.05462636,0.05259245011917063,14.77601268465238,2.7049235359362003
2023-07-31,0.05524202231747599,0.05614164,0.052307779623344944,-8.996176825240079,-1.6024072017205195
2023-08-31,0.05543169224940702,0.057516109999999995,0.052307779623344944,-20.844177505929746,-3.6240589820712406
2023-09-29,0.031126264449302485,0.05791615,0.05316154811423234,-267.89885550697517,-46.256330144005624
2023-10-31,0.05626238058475211,0.05736087,0.052971884766105724,-10.984894152478928,-1.9150501295532874
2023-11-30,0.05270628526367568,0.05618641,0.05031281387358918,-34.80124736324322,-6.193890544571761
2023-12-29,0.048894996966889814,0.053534170000000006,0.04678816149875898,-46.39173033110192,-8.665816679534196
2024-01-31,0.048443185113210684,0.0514832,0.04621542379696289,-30.40014886789316,-5.904867775875075
2024-02-29,0.05215667443210523,0.05243601,0.04888539772981066,-2.793355678947715,-0.5327170543578192
2024-03-28,0.051499592566797224,0.05343276,0.049075837646592645,-19.331674332027788,-3.61794418480868
2024-04-30,0.05514426584433582,0.05520224,0.051168286574399424,-0.579741556641783,-0.10502138258189939
2024-05-31,0.053960993031969544,0.05582262,0.05050298217310683,-18.616269680304594,-3.334897158231662
2024-06-28,0.05283083560508044,0.0557328,0.04964693988941372,-29.019643949195622,-5.206923741350806
2024-07-31,0.04887633175315506,0.05357139,0.04621542379696289,-46.950582468449426,-8.76411503760672
2024-08-30,0.04456422842206241,0.04923136,0.04286790022717587,-46.67131577937592,-9.47999725771864
2024-09-30,0.04082912472496622,0.045400840000000005,0.0390283869674784,-45.717152750337846,-10.069671122899452
2024-10-31,0.04485756282170285,0.04557046,0.04181350281341035,-7.128971782971519,-1.5643844242457767
2024-11-29,0.04555484043274491,0.04742659,0.042101176018635326,-18.71749567255089,-3.946624809532141
2024-12-31,0.04523411666311485,0.04793865,0.040757992472167826,-27.04533336885147,-5.641655192386826
